840 [0.6317654120057822, 0.88]
845 [0.6254068396329879, 0.8889]
850 [0.6282790335729718, 0.8884]
855 [0.6543594150215387, 0.8857]
860 [0.7176018648788333, 0.873]
865 [0.6257623121768237, 0.8885]
870 [0.6380357331514358, 0.8875]
875 [0.6280391330644488, 0.891]
880 [0.6505064294785261, 0.8881]
885 [0.6184862256040796, 0.8903]
890 [0.6706396316215396, 0.8868]
895 [0.6459529551714659, 0.8862]
900 [0.656322205417417, 0.8848]
905 [0.6786527084894478, 0.8857]
910 [0.6477712095659226, 0.8895]
915 [0.6586724927663803, 0.8907]
920 [0.6563705592431128, 0.8865]
925 [0.686473380856216, 0.8819]
930 [0.6813703197941184, 0.887]
935 [0.6750492655262351, 0.8887]
940 [0.6497294745775871, 0.8921]
945 [0.6915375464286655, 0.8836]
950 [0.6869177930496633, 0.8847]
955 [0.7118230943176895, 0.8865]
960 [0.6592867393404246, 0.8872]
965 [0.7166966767281294, 0.88]
970 [0.6601713614046574, 0.8884]
975 [0.704934962168336, 0.8857]
980 [0.700232099699974, 0.8853]
985 [0.741566907633841, 0.8805]
990 [0.6908351395742036, 0.8866]
995 [0.6822626478742808, 0.8867]
1000 [0.6796553129047156, 0.8893]
1005 [0.700107098403573, 0.8858]
1010 [0.7006567705869675, 0.8846]
1015 [0.7424822818949819, 0.8851]
1020 [0.6969932625118643, 0.8891]
1025 [0.7524874162472784, 0.8781]
1030 [0.6680998058468104, 0.8907]
1035 [0.6825058415815234, 0.8863]
1040 [0.6881935149326921, 0.8884]
1045 [0.6952680286288262, 0.8857]
1050 [0.8126053541600704, 0.8725]
1055 [0.7506534630812705, 0.8827]
1060 [0.7024068098805845, 0.8877]
1065 [0.6870298513516784, 0.8892]
1070 [0.7195998829070479, 0.8869]
1075 [0.7497746892616153, 0.8839]
1080 [0.6962965881299228, 0.8889]
1085 [0.7082259113393724, 0.889]
1090 [0.7095140084162355, 0.8855]
1095 [0.7439732821192593, 0.8838]
1100 [0.7267200092434883, 0.8874]
1105 [0.7049647612199187, 0.8828]
1110 [0.6992996042940766, 0.8888]
1115 [0.7159784166112542, 0.8862]
1120 [0.7758377265296876, 0.8779]
1125 [0.7086592611856759, 0.8904]
1130 [0.7445428271511569, 0.8845]
1135 [0.7512608621664345, 0.8856]
1140 [0.7313697208315134, 0.8834]
1145 [0.6928942494429647, 0.8891]
1150 [0.7341967933401465, 0.8874]
1155 [0.7407107350150123, 0.8837]
1160 [0.7416161619119346, 0.885]
1165 [0.7881263221185655, 0.8776]
1170 [0.7230471867024899, 0.8886]
1175 [0.7710377820879221, 0.8795]
1180 [0.7591923774212599, 0.8881]
1185 [0.7506338585078717, 0.8859]
1190 [0.7501640809297562, 0.8822]
1195 [0.7443182738095522, 0.8811]
1200 [0.716511586611718, 0.8876]
1205 [0.7200131674557925, 0.8872]
1210 [0.7413711282491684, 0.884]
1215 [0.7565203777842223, 0.8801]
1220 [0.7348577840983868, 0.8867]
1225 [0.7537291266471148, 0.8845]
1230 [0.7432048175357282, 0.8876]
1235 [0.7313484492460266, 0.8869]
1240 [0.7822748848199844, 0.8839]
1245 [0.7360214062437415, 0.8832]
1250 [0.7831461258083582, 0.8809]
1255 [0.8215159170466475, 0.8764]
1260 [0.778937727664411, 0.887]
1265 [0.7515692651616409, 0.8858]
1270 [0.7911790753178298, 0.8879]
1275 [0.7539750242233276, 0.8888]
1280 [0.7736503064393997, 0.8849]
1285 [0.7637129501074552, 0.8885]
1290 [0.7673761069547385, 0.8829]
1295 [0.7833672165580093, 0.8849]
1300 [0.7780523499075324, 0.8847]
1305 [0.8006324707061052, 0.883]
1310 [0.7950395495031028, 0.8847]
1315 [0.7804158321589232, 0.8838]
1320 [0.7691278520878404, 0.8853]
1325 [0.7497603838615119, 0.8873]
1330 [0.7687770924540237, 0.8823]
1335 [0.8117400279857219, 0.8816]
1340 [0.8051723742436617, 0.8836]
1345 [0.774704030045867, 0.8874]
1350 [0.7773622370637954, 0.8857]
1355 [0.803521816226095, 0.882]
1360 [0.8122310014992953, 0.8834]
1365 [0.8243191483825445, 0.8832]
1370 [0.7873715982943773, 0.882]
1375 [0.790421876385808, 0.8836]
1380 [0.7793553292728961, 0.8845]
1385 [0.7910215673431754, 0.8829]
1390 [0.8240940952152014, 0.8841]
1395 [0.7771286757528781, 0.8843]
1400 [0.8154575266353786, 0.8818]
1405 [0.7880296081746928, 0.8873]
1410 [0.8223607798106969, 0.8794]
1415 [0.8051323228597641, 0.8868]
1420 [0.809502719398588, 0.8849]
1425 [0.8024114247173071, 0.8849]
1430 [0.7982656786486506, 0.8831]
1435 [0.8288532582178711, 0.881]
