x y
0 0.9890873015873015
0 0.9890873015873015
2 0.9890873015873015
2 0.9836309523809523
4 0.9836309523809523
4 0.9796626984126984
6 0.9796626984126984
6 0.8998015873015872
8 0.8998015873015872
8 0.5069444444444444
10 0.5069444444444444
10 0.40674603174603174
12 0.40674603174603174
12 0.371031746031746
14 0.371031746031746
14 0.2405753968253968
16 0.2405753968253968
16 0.1121031746031746
18 0.1121031746031746
18 0.048611111111111105
20 0.048611111111111105
20 0.015376984126984126
22 0.015376984126984126
22 0.0
23 0
