x y
0 0.9910714285714285
0 0.9910714285714285
2 0.9910714285714285
2 0.954861111111111
4 0.954861111111111
4 0.5912698412698413
6 0.5912698412698413
6 0.45337301587301587
8 0.45337301587301587
8 0.35416666666666663
10 0.35416666666666663
10 0.18055555555555555
12 0.18055555555555555
12 0.10615079365079365
14 0.10615079365079365
14 0.05704365079365079
16 0.05704365079365079
16 0.03869047619047619
18 0.03869047619047619
18 0.023313492063492064
20 0.023313492063492064
20 0.013888888888888888
22 0.013888888888888888
22 0.002976190476190476
24 0.002976190476190476
24 0.00248015873015873
26 0.00248015873015873
26 0.001984126984126984
28 0.001984126984126984
28 0.000496031746031746
34 0.000496031746031746
34 0.0
35 0
