x y
0 0.9811507936507936
0 0.9811507936507936
2 0.9811507936507936
2 0.9737103174603174
4 0.9737103174603174
4 0.9310515873015872
6 0.9310515873015872
6 0.8253968253968254
8 0.8253968253968254
8 0.660218253968254
10 0.660218253968254
10 0.2777777777777778
12 0.2777777777777778
12 0.13194444444444445
14 0.13194444444444445
14 0.04365079365079365
16 0.04365079365079365
16 0.011904761904761904
18 0.011904761904761904
18 0.001984126984126984
20 0.001984126984126984
20 0.000496031746031746
22 0.000496031746031746
22 0.0
23 0
